engagement1,person,datetime,facial_expression
0.7888725290403299,0,2025-02-11 15:57:00.223400204,smilling
0.7946883439005166,2,2025-02-11 15:57:00.223400204,frowning
0.8249270069516625,3,2025-02-11 15:57:00.223400204,admired
0.8883315199786853,1,2025-02-11 15:57:00.223400204,tired
0.8883315199786853,1,2025-02-11 15:57:00.552164096,neutral
0.8249270069516625,3,2025-02-11 15:57:00.552164096,neutral
0.7946883439005166,2,2025-02-11 15:57:00.552164096,frowning
0.7888725290403299,0,2025-02-11 15:57:00.552164096,neutral
0.8249270069516625,3,2025-02-11 15:57:00.880071833,neutral
0.7888725290403299,0,2025-02-11 15:57:00.880071833,smilling
0.7946883439005166,2,2025-02-11 15:57:00.880071833,frowning
0.8883315199786853,1,2025-02-11 15:57:00.880071833,neutral
0.8249270069516625,3,2025-02-11 15:57:01.222534221,tired
0.7888725290403299,0,2025-02-11 15:57:01.222534221,frowning
0.8883315199786853,1,2025-02-11 15:57:01.222534221,neutral
0.7946883439005166,2,2025-02-11 15:57:01.222534221,frowning
0.7888725290403299,0,2025-02-11 15:57:01.565852765,neutral
0.8883315199786853,1,2025-02-11 15:57:01.565852765,neutral
0.8249270069516625,3,2025-02-11 15:57:01.565852765,neutral
0.7946883439005166,2,2025-02-11 15:57:01.565852765,frowning
0.7888725290403299,0,2025-02-11 15:57:01.922013649,neutral
0.8249270069516625,3,2025-02-11 15:57:01.922013649,tired
0.8883315199786853,1,2025-02-11 15:57:01.922013649,tired
0.7946883439005166,2,2025-02-11 15:57:01.922013649,frowning
0.8249270069516625,3,2025-02-11 15:57:02.249921385,neutral
0.8883315199786853,1,2025-02-11 15:57:02.249921385,neutral
0.7888725290403299,0,2025-02-11 15:57:02.249921385,neutral
0.7946883439005166,2,2025-02-11 15:57:02.249921385,frowning
0.8249270069516625,3,2025-02-11 15:57:02.592383774,neutral
0.7888725290403299,0,2025-02-11 15:57:02.592383774,tired
0.7946883439005166,2,2025-02-11 15:57:02.592383774,frowning
0.8883315199786853,1,2025-02-11 15:57:02.592383774,neutral
0.8883315199786853,1,2025-02-11 15:57:03.093235016,neutral
0.8249270069516625,3,2025-02-11 15:57:03.093235016,neutral
0.7888725290403299,0,2025-02-11 15:57:03.093235016,tired
0.7946883439005166,2,2025-02-11 15:57:03.093235016,frowning
0.8249270069516625,3,2025-02-11 15:57:03.520456845,tired
0.7946883439005166,2,2025-02-11 15:57:03.520456845,frowning
0.8883315199786853,1,2025-02-11 15:57:03.520456845,neutral
0.7888725290403299,0,2025-02-11 15:57:03.520456845,tired
0.8249270069516625,3,2025-02-11 15:57:03.907439344,neutral
0.8883315199786853,1,2025-02-11 15:57:03.907439344,tired
0.7888725290403299,0,2025-02-11 15:57:03.907439344,tired
0.7946883439005166,2,2025-02-11 15:57:03.907439344,frowning
0.7888725290403299,0,2025-02-11 15:57:04.234490924,tired
0.8883315199786853,1,2025-02-11 15:57:04.234490924,tired
0.7946883439005166,2,2025-02-11 15:57:04.234490924,frowning
0.8249270069516625,3,2025-02-11 15:57:04.234490924,tired
0.7946883439005166,2,2025-02-11 15:57:04.562398661,frowning
0.8249270069516625,3,2025-02-11 15:57:04.562398661,neutral
0.7888725290403299,0,2025-02-11 15:57:04.562398661,tired
0.8883315199786853,1,2025-02-11 15:57:04.562398661,neutral
0.7946883439005166,2,2025-02-11 15:57:04.904861049,frowning
0.8249270069516625,3,2025-02-11 15:57:04.904861049,neutral
0.7888725290403299,0,2025-02-11 15:57:04.904861049,tired
0.8883315199786853,1,2025-02-11 15:57:04.904861049,neutral
0.8249270069516625,3,2025-02-11 15:57:05.261878089,neutral
0.8883315199786853,1,2025-02-11 15:57:05.261878089,neutral
0.7946883439005166,2,2025-02-11 15:57:05.261878089,frowning
0.7888725290403299,0,2025-02-11 15:57:05.261878089,neutral
0.7946883439005166,2,2025-02-11 15:57:05.604340477,frowning
0.7888725290403299,0,2025-02-11 15:57:05.604340477,neutral
0.8249270069516625,3,2025-02-11 15:57:05.604340477,neutral
0.8883315199786853,1,2025-02-11 15:57:05.604340477,tired
0.8883315199786853,1,2025-02-11 15:57:05.929679746,neutral
0.7946883439005166,2,2025-02-11 15:57:05.929679746,frowning
0.8249270069516625,3,2025-02-11 15:57:05.929679746,neutral
0.7888725290403299,0,2025-02-11 15:57:05.929679746,neutral
0.7946883439005166,2,2025-02-11 15:57:06.267861354,frowning
0.7888725290403299,0,2025-02-11 15:57:06.267861354,neutral
0.8249270069516625,3,2025-02-11 15:57:06.267861354,neutral
0.8883315199786853,1,2025-02-11 15:57:06.267861354,neutral
0.7946883439005166,2,2025-02-11 15:57:06.613748366,frowning
0.8883315199786853,1,2025-02-11 15:57:06.613748366,neutral
0.8249270069516625,3,2025-02-11 15:57:06.613748366,neutral
0.7888725290403299,0,2025-02-11 15:57:06.613748366,neutral
0.7888725290403299,0,2025-02-11 15:57:06.952786130,tired
0.7946883439005166,2,2025-02-11 15:57:06.952786130,frowning
0.8249270069516625,3,2025-02-11 15:57:06.952786130,neutral
0.8883315199786853,1,2025-02-11 15:57:06.952786130,neutral
0.8249270069516625,3,2025-02-11 15:57:07.289255426,neutral
0.7946883439005166,2,2025-02-11 15:57:07.289255426,frowning
0.8883315199786853,1,2025-02-11 15:57:07.289255426,neutral
0.7888725290403299,0,2025-02-11 15:57:07.289255426,tired
0.8249270069516625,3,2025-02-11 15:57:07.632573970,neutral
0.8883315199786853,1,2025-02-11 15:57:07.632573970,tired
0.7888725290403299,0,2025-02-11 15:57:07.632573970,neutral
0.7946883439005166,2,2025-02-11 15:57:07.632573970,frowning
0.8883315199786853,1,2025-02-11 15:57:07.958769395,tired
0.8249270069516625,3,2025-02-11 15:57:07.958769395,neutral
0.7946883439005166,2,2025-02-11 15:57:07.958769395,frowning
0.7888725290403299,0,2025-02-11 15:57:07.958769395,tired
0.8249270069516625,3,2025-02-11 15:57:08.415956683,tired
0.7888725290403299,0,2025-02-11 15:57:08.415956683,neutral
0.8883315199786853,1,2025-02-11 15:57:08.415956683,neutral
0.7946883439005166,2,2025-02-11 15:57:08.415956683,frowning
0.7946883439005166,2,2025-02-11 15:57:08.759275227,frowning
0.8883315199786853,1,2025-02-11 15:57:08.759275227,neutral
0.7888725290403299,0,2025-02-11 15:57:08.759275227,neutral
0.8249270069516625,3,2025-02-11 15:57:08.759275227,neutral
0.7946883439005166,2,2025-02-11 15:57:09.226736387,frowning
0.7888725290403299,0,2025-02-11 15:57:09.226736387,neutral
0.8249270069516625,3,2025-02-11 15:57:09.226736387,neutral
0.8883315199786853,1,2025-02-11 15:57:09.226736387,neutral
0.7946883439005166,2,2025-02-11 15:57:09.543514096,frowning
0.8883315199786853,1,2025-02-11 15:57:09.543514096,neutral
0.8249270069516625,3,2025-02-11 15:57:09.543514096,neutral
0.7888725290403299,0,2025-02-11 15:57:09.543514096,neutral
0.7946883439005166,2,2025-02-11 15:57:09.915085787,frowning
0.8249270069516625,3,2025-02-11 15:57:09.915085787,neutral
0.7888725290403299,0,2025-02-11 15:57:09.915085787,neutral
0.8236792578845543,2,2025-02-11 15:57:10.185631074,frowning
0.7367596315890819,0,2025-02-11 15:57:10.185631074,neutral
0.8928855824069072,1,2025-02-11 15:57:10.185631074,neutral
0.8239430409186163,3,2025-02-11 15:57:10.185631074,tired
0.7367596315890819,0,2025-02-11 15:57:10.595729783,neutral
0.8928855824069072,1,2025-02-11 15:57:10.595729783,neutral
0.8236792578845543,2,2025-02-11 15:57:10.595729783,frowning
0.8239430409186163,3,2025-02-11 15:57:10.595729783,neutral
0.8239430409186163,3,2025-02-11 15:57:10.870555850,neutral
0.7367596315890819,0,2025-02-11 15:57:10.870555850,neutral
0.8236792578845543,2,2025-02-11 15:57:10.870555850,frowning
0.7367596315890819,0,2025-02-11 15:57:11.149662696,neutral
0.8239430409186163,3,2025-02-11 15:57:11.149662696,tired
0.8236792578845543,2,2025-02-11 15:57:11.149662696,frowning
0.8239430409186163,3,2025-02-11 15:57:11.497262020,tired
0.8928855824069072,1,2025-02-11 15:57:11.497262020,neutral
0.8236792578845543,2,2025-02-11 15:57:11.497262020,frowning
0.7367596315890819,0,2025-02-11 15:57:11.497262020,tired
0.7367596315890819,0,2025-02-11 15:57:11.833731316,neutral
0.8236792578845543,2,2025-02-11 15:57:11.833731316,frowning
0.8928855824069072,1,2025-02-11 15:57:11.833731316,neutral
0.8239430409186163,3,2025-02-11 15:57:11.833731316,tired
0.8239430409186163,3,2025-02-11 15:57:12.177906016,neutral
0.8236792578845543,2,2025-02-11 15:57:12.177906016,frowning
0.7367596315890819,0,2025-02-11 15:57:12.177906016,neutral
0.8928855824069072,1,2025-02-11 15:57:12.177906016,neutral
0.8236792578845543,2,2025-02-11 15:57:12.526361496,frowning
0.8239430409186163,3,2025-02-11 15:57:12.526361496,neutral
0.7367596315890819,0,2025-02-11 15:57:12.526361496,neutral
0.8928855824069072,1,2025-02-11 15:57:12.526361496,neutral
0.8239430409186163,3,2025-02-11 15:57:12.854269233,neutral
0.8236792578845543,2,2025-02-11 15:57:12.854269233,frowning
0.8928855824069072,1,2025-02-11 15:57:12.854269233,neutral
0.7367596315890819,0,2025-02-11 15:57:12.854269233,tired
0.8928855824069072,1,2025-02-11 15:57:13.239539420,neutral
0.8239430409186163,3,2025-02-11 15:57:13.239539420,neutral
0.7367596315890819,0,2025-02-11 15:57:13.239539420,tired
0.8236792578845543,2,2025-02-11 15:57:13.239539420,frowning
0.8239430409186163,3,2025-02-11 15:57:13.582857964,neutral
0.8236792578845543,2,2025-02-11 15:57:13.582857964,frowning
0.7367596315890819,0,2025-02-11 15:57:13.582857964,tired
0.8928855824069072,1,2025-02-11 15:57:13.582857964,tired
0.8236792578845543,2,2025-02-11 15:57:13.939875003,frowning
0.7367596315890819,0,2025-02-11 15:57:13.939875003,tired
0.8239430409186163,3,2025-02-11 15:57:13.939875003,frowning
0.8928855824069072,1,2025-02-11 15:57:13.939875003,neutral
0.8236792578845543,2,2025-02-11 15:57:14.267782740,frowning
0.8239430409186163,3,2025-02-11 15:57:14.267782740,neutral
0.8928855824069072,1,2025-02-11 15:57:14.267782740,neutral
0.7367596315890819,0,2025-02-11 15:57:14.267782740,tired
0.8928855824069072,1,2025-02-11 15:57:14.625655935,neutral
0.8236792578845543,2,2025-02-11 15:57:14.625655935,frowning
0.8239430409186163,3,2025-02-11 15:57:14.625655935,frowning
0.7367596315890819,0,2025-02-11 15:57:14.625655935,neutral
0.8239430409186163,3,2025-02-11 15:57:14.984385287,neutral
0.7367596315890819,0,2025-02-11 15:57:14.984385287,tired
0.8236792578845543,2,2025-02-11 15:57:14.984385287,frowning
0.8928855824069072,1,2025-02-11 15:57:15.340546171,neutral
0.8236792578845543,2,2025-02-11 15:57:15.340546171,frowning
0.7367596315890819,0,2025-02-11 15:57:15.340546171,neutral
0.8239430409186163,3,2025-02-11 15:57:15.340546171,frowning
0.8239430409186163,3,2025-02-11 15:57:15.702700146,neutral
0.8928855824069072,1,2025-02-11 15:57:15.702700146,neutral
0.8236792578845543,2,2025-02-11 15:57:15.702700146,frowning
0.7367596315890819,0,2025-02-11 15:57:15.702700146,tired
0.8928855824069072,1,2025-02-11 15:57:16.109374232,neutral
0.8239430409186163,3,2025-02-11 15:57:16.109374232,neutral
0.8236792578845543,2,2025-02-11 15:57:16.109374232,frowning
0.7367596315890819,0,2025-02-11 15:57:16.109374232,tired
0.8928855824069072,1,2025-02-11 15:57:16.480089767,neutral
0.8236792578845543,2,2025-02-11 15:57:16.480089767,frowning
0.7367596315890819,0,2025-02-11 15:57:16.480089767,neutral
0.8239430409186163,3,2025-02-11 15:57:16.480089767,tired
0.8236792578845543,2,2025-02-11 15:57:16.921866248,tired
0.8239430409186163,3,2025-02-11 15:57:16.921866248,tired
0.8928855824069072,1,2025-02-11 15:57:16.921866248,neutral
0.7367596315890819,0,2025-02-11 15:57:16.921866248,neutral
0.8236792578845543,2,2025-02-11 15:57:17.250630140,tired
0.8239430409186163,3,2025-02-11 15:57:17.250630140,tired
0.7367596315890819,0,2025-02-11 15:57:17.250630140,neutral
0.8928855824069072,1,2025-02-11 15:57:17.250630140,neutral
0.8236792578845543,2,2025-02-11 15:57:17.593092528,tired
0.8928855824069072,1,2025-02-11 15:57:17.593092528,neutral
0.8239430409186163,3,2025-02-11 15:57:17.593092528,tired
0.7367596315890819,0,2025-02-11 15:57:17.593092528,neutral
0.7367596315890819,0,2025-02-11 15:57:17.921000265,neutral
0.8239430409186163,3,2025-02-11 15:57:17.921000265,neutral
0.8928855824069072,1,2025-02-11 15:57:17.921000265,neutral
0.8236792578845543,2,2025-02-11 15:57:17.921000265,tired
0.8239430409186163,3,2025-02-11 15:57:18.263462653,neutral
0.7367596315890819,0,2025-02-11 15:57:18.263462653,neutral
0.8236792578845543,2,2025-02-11 15:57:18.263462653,admired
